county_fips,year,outcome_year,y,lag_1,lag_3_mean_obs,lag_5_mean_obs,years_since_last_obs,sample_weight
51159,2008,2009,1,3.73,2.4866666333333334,3.02600004,1,509.38337801608577
51159,2009,2010,0,4.3099999,3.529999966666667,3.2560000000000002,1,510.44084710999647
51159,2010,2011,0,1.92,3.3199999666666673,2.7379999600000002,1,781.2500000000001
51159,2011,2012,0,3.26,3.1633333,3.15399998,1,736.196319018405
51159,2012,2013,0,2.3099999,2.496666633333333,3.1059999600000006,1,735.9307677892107
51159,2013,2014,,2.71,2.759999966666667,2.9019999600000004,1,738.0073800738007
51159,2015,2016,0,3.1199999,2.7133332666666665,2.66399996,2,737.1795108070356
51159,2016,2017,1,3.1400001,2.9899999999999998,2.90799998,1,923.5668495679348
51159,2017,2018,1,3.25,3.17,2.90599998,1,923.0769230769231
51159,2018,2019,,3.79,3.393333366666667,3.2019999999999995,1,923.4828496042215
51167,2017,2018,,1.63,1.5033333333333332,1.6159999799999998,2,2576.6871165644175
51169,2007,2008,0,0.60000002,0.6266666833333333,0.47000001,2,2333.3332555555585
51169,2008,2009,0,0.64999998,0.72000001,0.5440000059999999,1,2307.692378698227
51169,2009,2010,0,0.47999999,0.5766666633333334,0.602000004,1,2291.666714409723
51169,2010,2011,0,0.62,0.5833333233333333,0.652000004,1,2258.064516129032
51169,2011,2012,0,1.4400001,0.8466666966666666,0.7580000179999999,1,2083.3331886574174
51169,2012,2013,0,1.15,1.0700000333333333,0.868000014,1,2086.9565217391305
51169,2013,2014,0,1.39,1.3266666999999999,1.016000018,1,2086.3309352517986
51169,2014,2015,0,1.34,1.2933333333333332,1.18800002,1,2089.55223880597
51169,2015,2016,0,0.76999998,1.16666666,1.218000016,1,2077.9221318940813
51169,2016,2017,0,0.15000001,0.7533333300000001,0.959999998,1,1999.9998666666759
51169,2017,2018,0,2.5699999,1.1633332966666667,1.2439999780000002,1,1984.4358748807733
51169,2018,2019,,2.4200001,1.7133333366666665,1.4499999980000002,1,1983.4709924185538
51181,2004,2005,1,5.3600001,5.416666799999999,5.72800014,1,597.0149142347965
51181,2005,2006,1,6.5599999,5.426666699999999,5.7340000799999995,1,701.2195228844439
51181,2006,2007,1,7.8499999,6.589999966666667,6.132000039999999,1,700.6369516004708
51181,2007,2008,1,5.5599999,6.656666566666666,5.93799998,1,701.4388615366702
51181,2008,2009,1,6.5599999,6.656666566666668,6.3779999400000005,1,701.2195228844439
51181,2009,2010,1,7.9899998,6.7033332,6.903999880000001,1,700.8761126627312
51181,2010,2011,1,5.21,6.586666566666666,6.633999900000001,1,633.3973128598848
51181,2011,2012,1,9.1800003,7.4600000333333325,6.89999998,1,533.7690457373951
51181,2012,2013,1,8.0500002,7.480000166666666,7.3980000399999994,1,534.1614774121372
51181,2013,2014,1,5.8099999,7.6800001333333325,7.248000039999999,1,533.5628319029747
51181,2014,2015,1,5.9899998,6.616666633333332,6.84800004,1,534.2237240141477
51181,2015,2016,1,6.7399998,6.179999833333333,7.153999999999999,1,534.1246449295147
51181,2016,2017,1,4.9899998,5.906666466666665,6.3159999,1,701.4028337235605
51181,2017,2018,1,4.6999998,5.476666466666665,5.64599982,1,702.1276894522422
51181,2018,2019,,5.98,5.223333199999999,5.679999839999999,1,702.3411371237457
51183,2013,2014,1,6.3400002,6.250000166666666,5.170000079999999,1,1088.328041377664
51183,2014,2015,1,5.2399998,5.820000033333334,5.4700000399999995,1,1087.7863010605458
51183,2015,2016,1,5.6999998,5.759999933333333,5.93800002,1,1087.719336411205
